label,selling_price,age,sell_speed,mileage,avg_mileage
1,103500.0,44.0,67,5.2,0.8914983560356976
0,62000.0,56.0,42,3.28,1.247083333333333
1,76000.0,21.0,190,9.02,1.062032258064516
1,98000.0,43.0,29,5.61,1.6513306451612904
0,56500.0,33.0,26,5.98,0.8330916030534352
0,45000.0,34.0,81,7.47,1.5751299826689775
0,51000.0,48.0,16,7.01,1.197309312119794
1,78000.0,29.0,36,3.99,1.3817362428842506
1,124200.0,32.0,28,9.97,1.8277498744349572
0,51000.0,45.0,50,8.35,0.9323187519118996
1,91428.0,40.0,33,2.5,1.0697538100820634
1,76000.0,27.0,35,10.57,1.2950822423632091
0,65000.0,23.0,97,5.9,1.0920385395537526
1,110000.0,29.0,27,5.38,1.2571702944942382
0,52000.0,38.0,29,3.79,0.8822385204081632
0,40000.0,23.0,9,8.82,0.9939178758876196
0,50000.0,35.0,83,4.5,0.926918735891648
1,101700.0,29.0,23,4.65,1.0561605476042315
1,73440.0,45.0,59,6.2,1.7015037593984963
1,133000.0,31.0,22,3.79,1.2134649122807015
1,100000.0,50.0,58,7.39,1.6151796407185626
1,75600.0,38.0,31,2.93,0.9171955403087478
1,81000.0,28.0,27,7.92,0.9832653061224488
1,122000.0,28.0,169,8.26,1.5135040160642568
1,75000.0,30.0,69,2.56,0.7993156544054747
0,62000.0,28.0,35,3.96,1.3533707865168538
0,58000.0,59.0,34,9.25,1.2458487084870848
0,65880.0,23.0,34,6.87,0.952716565349544
0,45000.0,43.0,27,4.29,0.5823168464113053
0,58000.0,34.0,16,6.31,0.977153160797624
0,48000.0,26.0,83,7.02,1.0462637811351572
1,80000.0,21.0,13,7.79,1.993934081346424
0,62000.0,26.0,38,5.53,1.7400431034482762
0,58500.0,30.0,63,5.07,2.081608548931384
1,118800.0,44.0,24,6.6,0.9125
1,90000.0,32.0,28,11.4,1.2525586995785671
0,62000.0,24.0,7,4.05,0.8584494773519165
1,71280.0,28.0,45,4.2,1.4530805687203792
1,72000.0,38.0,68,8.09,1.2272859517871986
0,65000.0,38.0,33,4.36,2.147638326585695
1,88000.0,26.0,98,6.42,1.3727592267135325
1,72000.0,26.0,166,5.19,0.8831468531468532
1,85000.0,36.0,110,4.81,1.768026183282981
0,68040.0,29.0,50,5.79,1.490373765867419
1,124200.0,38.0,55,7.11,1.7118403693931399
1,108000.0,46.0,71,5.47,0.7359196461481754
0,69700.0,30.0,28,5.7,0.853713582273287
1,70900.0,26.0,21,6.45,1.1226752503576538
1,118800.0,30.0,17,7.87,1.2881390134529151
0,64800.0,30.0,27,4.27,1.50004812319538
1,71000.0,36.0,17,6.52,1.1541222114451988
0,62640.0,30.0,59,5.3,0.8997674418604652
0,48000.0,26.0,31,6.74,1.478425480769231
1,80000.0,26.0,28,3.88,1.3210820895522388
1,86400.0,34.0,31,5.39,1.4892884178652537
1,76680.0,36.0,113,3.85,1.0952844894777864
0,55080.0,42.0,21,7.91,0.9013893225101468
1,85000.0,29.0,22,4.3,1.5663672654690617
1,75000.0,31.0,29,4.97,1.4295114263199369
0,60000.0,42.0,45,4.53,0.8889516129032258
0,42500.0,29.0,201,10.0,1.108748481166464
0,40000.0,24.0,69,8.28,1.0694267515923566
0,56376.0,24.0,132,7.14,1.7134122287968439
1,111000.0,44.0,128,2.71,1.3662292817679558
0,68040.0,25.0,114,6.73,1.278069719042664
1,70200.0,42.0,40,8.54,1.960440251572327
1,93960.0,23.0,17,3.32,0.8717985611510791
